test,device,signal,value,timestamp,delta
1,,,,,
,raspberry-pi,gpio6,1,2026-04-16T11:56:09.623Z,33
,raspberry-pi,gpio6,0,2026-04-16T11:56:09.628Z,16
,raspberry-pi,gpio6,1,2026-04-16T11:57:20.720Z,70881
,raspberry-pi,gpio6,0,2026-04-16T11:57:20.741Z,222
,raspberry-pi,gpio6,1,2026-04-16T11:57:23.933Z,3019
,raspberry-pi,gpio6,0,2026-04-16T11:57:23.976Z,194
,raspberry-pi,gpio6,1,2026-04-16T11:57:24.231Z,224
,raspberry-pi,gpio6,0,2026-04-16T11:57:24.295Z,70
,raspberry-pi,gpio6,1,2026-04-16T11:57:43.551Z,18704
,raspberry-pi,gpio6,0,2026-04-16T11:57:43.559Z,617
,raspberry-pi,gpio6,1,2026-04-16T11:57:44.686Z,401
,raspberry-pi,gpio6,0,2026-04-16T11:57:44.693Z,732
,raspberry-pi,gpio6,1,2026-04-16T11:57:44.799Z,8
,raspberry-pi,gpio6,0,2026-04-16T11:57:44.806Z,106
,raspberry-pi,gpio6,1,2026-04-16T11:57:50.459Z,5151
,raspberry-pi,gpio6,0,2026-04-16T11:57:50.468Z,510
,raspberry-pi,gpio6,1,2026-04-16T11:57:53.849Z,3011
,raspberry-pi,gpio6,0,2026-04-16T11:57:53.941Z,381
,raspberry-pi,gpio6,1,2026-04-16T11:57:54.074Z,86
,raspberry-pi,gpio6,0,2026-04-16T11:57:54.115Z,135
,raspberry-pi,gpio6,1,2026-04-16T11:58:01.646Z,7389
,raspberry-pi,gpio6,0,2026-04-16T11:58:01.654Z,185
,raspberry-pi,gpio6,1,2026-04-16T11:58:37.723Z,36065
,raspberry-pi,gpio6,0,2026-04-16T11:58:37.731Z,12
,raspberry-pi,gpio6,1,2026-04-16T11:58:40.023Z,1947
,raspberry-pi,gpio6,0,2026-04-16T11:58:40.032Z,353
,raspberry-pi,gpio6,1,2026-04-16T11:58:40.663Z,527
,raspberry-pi,gpio6,0,2026-04-16T11:58:40.669Z,111
,raspberry-pi,gpio6,1,2026-04-16T11:59:30.819Z,49540
,raspberry-pi,gpio6,0,2026-04-16T11:59:30.834Z,621
,raspberry-pi,gpio6,1,2026-04-16T11:59:31.035Z,8
,raspberry-pi,gpio6,0,2026-04-16T11:59:31.046Z,205
,raspberry-pi,gpio6,1,2026-04-16T11:59:31.152Z,7
,raspberry-pi,gpio6,0,2026-04-16T11:59:31.163Z,110
,raspberry-pi,gpio6,1,2026-04-16T11:59:31.402Z,8
,raspberry-pi,gpio6,0,2026-04-16T11:59:31.450Z,241
,raspberry-pi,gpio6,1,2026-04-16T11:59:31.849Z,440
,raspberry-pi,gpio6,0,2026-04-16T11:59:31.860Z,10
,raspberry-pi,gpio6,1,2026-04-16T11:59:33.366Z,769
,raspberry-pi,gpio6,0,2026-04-16T11:59:33.373Z,745
,raspberry-pi,gpio6,1,2026-04-16T11:59:34.649Z,855
,raspberry-pi,gpio6,0,2026-04-16T11:59:34.656Z,428
,raspberry-pi,gpio6,1,2026-04-16T11:59:34.780Z,7
,raspberry-pi,gpio6,0,2026-04-16T11:59:34.788Z,124
,raspberry-pi,gpio6,1,2026-04-16T11:59:35.237Z,6
,raspberry-pi,gpio6,0,2026-04-16T11:59:35.274Z,451
,raspberry-pi,gpio6,1,2026-04-16T11:59:35.353Z,35
,raspberry-pi,gpio6,0,2026-04-16T11:59:35.358Z,79
,raspberry-pi,gpio6,1,2026-04-16T11:59:35.611Z,6
,raspberry-pi,gpio6,0,2026-04-16T11:59:35.616Z,252
,raspberry-pi,gpio6,1,2026-04-16T11:59:35.747Z,131
,raspberry-pi,gpio6,0,2026-04-16T11:59:35.754Z,7
,raspberry-pi,gpio6,1,2026-04-16T11:59:35.811Z,7
,raspberry-pi,gpio6,0,2026-04-16T11:59:35.826Z,57
,raspberry-pi,gpio6,1,2026-04-16T11:59:36.337Z,310
,raspberry-pi,gpio6,0,2026-04-16T11:59:36.343Z,215
,raspberry-pi,gpio17,0,2026-04-16T11:59:41.089Z,300070
,raspberry-pi,gpio22,0,2026-04-16T11:59:41.096Z,300069
,raspberry-pi,gpio25,0,2026-04-16T11:59:41.101Z,300069
,raspberry-pi,gpio6,1,2026-04-16T12:00:26.295Z,49837
,raspberry-pi,gpio6,0,2026-04-16T12:00:26.322Z,123
,raspberry-pi,gpio6,1,2026-04-16T12:00:29.125Z,2799
,raspberry-pi,gpio6,0,2026-04-16T12:00:29.139Z,33
,raspberry-pi,gpio17,0,2026-04-16T12:04:41.109Z,300020
,raspberry-pi,gpio22,0,2026-04-16T12:04:41.117Z,300020
,raspberry-pi,gpio25,0,2026-04-16T12:04:41.121Z,300020
,raspberry-pi,gpio6,1,2026-04-16T12:08:32.847Z,483592
,raspberry-pi,gpio6,0,2026-04-16T12:08:32.855Z,128
,raspberry-pi,gpio6,1,2026-04-16T12:08:59.822Z,26756
,raspberry-pi,gpio6,0,2026-04-16T12:08:59.851Z,220
,raspberry-pi,gpio6,1,2026-04-16T12:09:19.190Z,19125
,raspberry-pi,gpio6,0,2026-04-16T12:09:21.139Z,1579
,raspberry-pi,gpio6,1,2026-04-16T12:09:24.547Z,3822
,raspberry-pi,gpio6,0,2026-04-16T12:09:24.570Z,200
,raspberry-pi,gpio17,0,2026-04-16T12:09:41.946Z,300837
,raspberry-pi,gpio22,0,2026-04-16T12:09:41.954Z,300837
,raspberry-pi,gpio25,0,2026-04-16T12:09:41.959Z,300837
,raspberry-pi,gpio6,1,2026-04-16T12:09:55.711Z,30616
,raspberry-pi,gpio6,0,2026-04-16T12:09:57.796Z,1820
,raspberry-pi,gpio26,0,2026-04-16T12:09:58.509Z,917373
,raspberry-pi,gpio26,1,2026-04-16T12:09:59.058Z,121
,raspberry-pi,gpio26,0,2026-04-16T12:09:59.174Z,556
,raspberry-pi,gpio6,1,2026-04-16T12:09:59.662Z,2186
,raspberry-pi,gpio6,0,2026-04-16T12:09:59.703Z,490
,raspberry-pi,gpio6,1,2026-04-16T12:10:15.256Z,15057
,raspberry-pi,gpio6,0,2026-04-16T12:10:15.265Z,539
,raspberry-pi,gpio6,1,2026-04-16T12:10:15.459Z,5
,raspberry-pi,gpio26,1,2026-04-16T12:10:17.179Z,18108
,raspberry-pi,gpio26,0,2026-04-16T12:10:17.344Z,12
,raspberry-pi,gpio6,0,2026-04-16T12:10:17.349Z,2079
,raspberry-pi,gpio6,1,2026-04-16T12:10:19.409Z,2007
,raspberry-pi,gpio6,0,2026-04-16T12:10:19.429Z,60
,raspberry-pi,gpio6,1,2026-04-16T12:10:36.907Z,17041
,raspberry-pi,gpio26,1,2026-04-16T12:10:38.664Z,21474
,raspberry-pi,gpio26,0,2026-04-16T12:10:38.825Z,52
,raspberry-pi,gpio6,0,2026-04-16T12:10:38.832Z,2373
,raspberry-pi,gpio26,1,2026-04-16T12:10:40.312Z,1596
,raspberry-pi,gpio26,0,2026-04-16T12:10:40.392Z,12
,raspberry-pi,gpio6,1,2026-04-16T12:10:40.981Z,1567
,raspberry-pi,gpio6,0,2026-04-16T12:10:41.014Z,591
,raspberry-pi,gpio6,1,2026-04-16T12:10:54.058Z,13048
,raspberry-pi,gpio6,0,2026-04-16T12:10:54.221Z,32
,raspberry-pi,gpio6,1,2026-04-16T12:10:54.268Z,158
,raspberry-pi,gpio6,0,2026-04-16T12:10:54.285Z,48
,raspberry-pi,gpio6,1,2026-04-16T12:10:54.397Z,14
,raspberry-pi,gpio26,1,2026-04-16T12:10:56.011Z,15687
,raspberry-pi,gpio26,0,2026-04-16T12:10:56.264Z,9
,raspberry-pi,gpio6,0,2026-04-16T12:10:56.287Z,1981
,raspberry-pi,gpio6,1,2026-04-16T12:11:00.443Z,4028
,raspberry-pi,gpio6,0,2026-04-16T12:11:00.469Z,156
,raspberry-pi,gpio6,1,2026-04-16T12:11:17.041Z,16042
,raspberry-pi,gpio26,1,2026-04-16T12:11:19.236Z,23216
,raspberry-pi,gpio26,0,2026-04-16T12:11:19.368Z,12
,raspberry-pi,gpio6,0,2026-04-16T12:11:19.382Z,2879
,raspberry-pi,gpio26,1,2026-04-16T12:11:20.946Z,1698
,raspberry-pi,gpio26,0,2026-04-16T12:11:21.025Z,11
,raspberry-pi,gpio6,1,2026-04-16T12:11:21.642Z,1656
,raspberry-pi,gpio6,0,2026-04-16T12:11:21.682Z,618
,raspberry-pi,gpio6,1,2026-04-16T12:11:21.719Z,38
,raspberry-pi,gpio6,0,2026-04-16T12:11:21.753Z,39
,raspberry-pi,gpio6,1,2026-04-16T12:11:33.215Z,11048
,raspberry-pi,gpio6,0,2026-04-16T12:11:33.237Z,451
,raspberry-pi,gpio6,1,2026-04-16T12:11:38.970Z,5024
,raspberry-pi,gpio26,1,2026-04-16T12:11:41.302Z,20345
,raspberry-pi,gpio6,0,2026-04-16T12:11:41.432Z,3086
,raspberry-pi,gpio26,0,2026-04-16T12:11:41.451Z,135
,raspberry-pi,gpio6,1,2026-04-16T12:12:00.980Z,19148
,raspberry-pi,gpio26,1,2026-04-16T12:12:02.967Z,21530
,raspberry-pi,gpio6,0,2026-04-16T12:12:03.079Z,2496
,raspberry-pi,gpio26,0,2026-04-16T12:12:03.084Z,117
,raspberry-pi,gpio26,1,2026-04-16T12:12:04.399Z,1315
,raspberry-pi,gpio26,0,2026-04-16T12:12:04.487Z,48
,raspberry-pi,gpio6,1,2026-04-16T12:12:05.187Z,1514
,raspberry-pi,gpio6,0,2026-04-16T12:12:05.221Z,702
,raspberry-pi,gpio6,1,2026-04-16T12:12:05.268Z,74
,raspberry-pi,gpio6,0,2026-04-16T12:12:05.274Z,6
,raspberry-pi,gpio6,1,2026-04-16T12:12:28.358Z,23036
,raspberry-pi,gpio26,1,2026-04-16T12:12:30.692Z,25974
,raspberry-pi,gpio26,0,2026-04-16T12:12:30.929Z,284
,raspberry-pi,gpio6,0,2026-04-16T12:12:30.936Z,2624
,raspberry-pi,gpio26,1,2026-04-16T12:12:32.618Z,1237
,raspberry-pi,gpio26,0,2026-04-16T12:12:32.799Z,687
,raspberry-pi,gpio6,1,2026-04-16T12:12:33.482Z,1870
,raspberry-pi,gpio6,0,2026-04-16T12:12:33.499Z,686
,raspberry-pi,gpio6,1,2026-04-16T12:12:49.778Z,16035
,raspberry-pi,gpio26,1,2026-04-16T12:12:51.309Z,18680
,raspberry-pi,gpio6,0,2026-04-16T12:12:51.408Z,1827
,raspberry-pi,gpio26,0,2026-04-16T12:12:51.413Z,104
,raspberry-pi,gpio26,1,2026-04-16T12:12:52.658Z,1244
,raspberry-pi,gpio26,0,2026-04-16T12:12:52.753Z,12
,raspberry-pi,gpio6,1,2026-04-16T12:12:53.365Z,1407
,raspberry-pi,gpio6,0,2026-04-16T12:12:53.389Z,614
,raspberry-pi,gpio6,1,2026-04-16T12:13:07.728Z,14040
,raspberry-pi,gpio6,0,2026-04-16T12:13:07.738Z,325
,raspberry-pi,gpio6,1,2026-04-16T12:13:07.765Z,6
,raspberry-pi,gpio6,0,2026-04-16T12:13:07.803Z,26
,raspberry-pi,gpio6,1,2026-04-16T12:13:07.883Z,37
,raspberry-pi,gpio6,0,2026-04-16T12:13:07.899Z,84
,raspberry-pi,gpio6,1,2026-04-16T12:13:08.002Z,12
,raspberry-pi,gpio26,1,2026-04-16T12:13:09.614Z,16945
,raspberry-pi,gpio6,0,2026-04-16T12:13:09.680Z,1721
,raspberry-pi,gpio26,0,2026-04-16T12:13:09.686Z,72
,raspberry-pi,gpio6,1,2026-04-16T12:13:23.475Z,13084
,raspberry-pi,gpio6,0,2026-04-16T12:13:23.483Z,775
,raspberry-pi,gpio6,1,2026-04-16T12:13:23.554Z,6
,raspberry-pi,gpio6,0,2026-04-16T12:13:23.559Z,70
,raspberry-pi,gpio6,1,2026-04-16T12:13:23.631Z,6
,raspberry-pi,gpio6,0,2026-04-16T12:13:23.690Z,73
,raspberry-pi,gpio6,1,2026-04-16T12:13:23.759Z,57
,raspberry-pi,gpio26,1,2026-04-16T12:13:25.380Z,14820
,raspberry-pi,gpio6,0,2026-04-16T12:13:25.494Z,1695
,raspberry-pi,gpio26,0,2026-04-16T12:13:25.512Z,993
,raspberry-pi,gpio17,1,2026-04-16T12:13:52.148Z,250201
,raspberry-pi,gpio17,0,2026-04-16T12:13:58.578Z,6409
,raspberry-pi,gpio6,1,2026-04-16T12:14:03.022Z,37201
,raspberry-pi,gpio5,1,2026-04-16T12:14:03.572Z,1162014
,raspberry-pi,gpio5,0,2026-04-16T12:14:03.598Z,548
,raspberry-pi,gpio6,0,2026-04-16T12:14:03.682Z,1011
,raspberry-pi,gpio17,1,2026-04-16T12:14:04.068Z,5511
,raspberry-pi,gpio26,1,2026-04-16T12:14:04.134Z,38634
,raspberry-pi,gpio6,1,2026-04-16T12:14:04.162Z,559
,raspberry-pi,gpio6,0,2026-04-16T12:14:04.314Z,8
,raspberry-pi,gpio5,1,2026-04-16T12:14:04.397Z,739
,raspberry-pi,gpio5,0,2026-04-16T12:14:04.575Z,87
,raspberry-pi,gpio26,0,2026-04-16T12:14:04.666Z,447
,raspberry-pi,gpio26,1,2026-04-16T12:14:04.769Z,91
,raspberry-pi,gpio5,1,2026-04-16T12:14:04.835Z,429
,raspberry-pi,gpio26,0,2026-04-16T12:14:04.864Z,173
,raspberry-pi,gpio5,0,2026-04-16T12:14:04.925Z,33
,raspberry-pi,gpio17,0,2026-04-16T12:14:10.180Z,6090
,raspberry-pi,gpio17,1,2026-04-16T12:14:17.470Z,7313
,raspberry-pi,gpio6,1,2026-04-16T12:14:22.214Z,17318
,raspberry-pi,gpio6,0,2026-04-16T12:14:22.682Z,738
,raspberry-pi,gpio6,1,2026-04-16T12:14:22.692Z,462
,raspberry-pi,gpio6,0,2026-04-16T12:14:22.765Z,12
,raspberry-pi,gpio6,1,2026-04-16T12:14:22.773Z,74
,raspberry-pi,gpio6,0,2026-04-16T12:14:22.778Z,5
,raspberry-pi,gpio6,1,2026-04-16T12:14:22.830Z,52
,raspberry-pi,gpio6,0,2026-04-16T12:14:22.836Z,6
,raspberry-pi,gpio26,1,2026-04-16T12:14:23.222Z,18378
,raspberry-pi,gpio6,1,2026-04-16T12:14:23.252Z,398
,raspberry-pi,gpio6,0,2026-04-16T12:14:23.388Z,26
,raspberry-pi,gpio26,0,2026-04-16T12:14:23.755Z,171
,raspberry-pi,gpio26,1,2026-04-16T12:14:23.858Z,367
,raspberry-pi,gpio5,1,2026-04-16T12:14:23.948Z,19079
,raspberry-pi,gpio26,0,2026-04-16T12:14:23.953Z,187
,raspberry-pi,gpio5,0,2026-04-16T12:14:24.020Z,14
,raspberry-pi,gpio17,0,2026-04-16T12:14:29.435Z,11948
,raspberry-pi,gpio17,1,2026-04-16T12:14:30.196Z,778
,raspberry-pi,gpio17,0,2026-04-16T12:14:34.586Z,4355
,raspberry-pi,gpio17,1,2026-04-16T12:14:36.558Z,2006
,raspberry-pi,gpio6,1,2026-04-16T12:14:41.307Z,17313
,raspberry-pi,gpio6,0,2026-04-16T12:14:41.561Z,744
,raspberry-pi,gpio6,1,2026-04-16T12:14:41.585Z,268
,raspberry-pi,gpio6,0,2026-04-16T12:14:41.597Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:14:41.624Z,10
,raspberry-pi,gpio6,0,2026-04-16T12:14:41.639Z,28
,raspberry-pi,gpio6,1,2026-04-16T12:14:41.730Z,13
,raspberry-pi,gpio6,0,2026-04-16T12:14:41.861Z,94
,raspberry-pi,gpio22,0,2026-04-16T12:14:42.308Z,300361
,raspberry-pi,gpio25,0,2026-04-16T12:14:42.313Z,300361
,raspberry-pi,gpio26,1,2026-04-16T12:14:42.320Z,18372
,raspberry-pi,gpio6,1,2026-04-16T12:14:42.334Z,589
,raspberry-pi,gpio6,0,2026-04-16T12:14:42.514Z,14
,raspberry-pi,gpio26,0,2026-04-16T12:14:42.848Z,200
,raspberry-pi,gpio26,1,2026-04-16T12:14:42.947Z,427
,raspberry-pi,gpio5,1,2026-04-16T12:14:43.045Z,19083
,raspberry-pi,gpio26,0,2026-04-16T12:14:43.050Z,104
,raspberry-pi,gpio5,0,2026-04-16T12:14:43.112Z,13
,raspberry-pi,gpio17,0,2026-04-16T12:14:48.367Z,11795
,raspberry-pi,gpio17,1,2026-04-16T12:14:55.640Z,7288
,raspberry-pi,gpio6,1,2026-04-16T12:15:00.406Z,17316
,raspberry-pi,gpio6,0,2026-04-16T12:15:00.965Z,760
,raspberry-pi,gpio26,1,2026-04-16T12:15:01.410Z,18360
,raspberry-pi,gpio6,1,2026-04-16T12:15:01.438Z,1007
,raspberry-pi,gpio6,0,2026-04-16T12:15:01.580Z,22
,raspberry-pi,gpio5,1,2026-04-16T12:15:01.739Z,18528
,raspberry-pi,gpio5,0,2026-04-16T12:15:01.846Z,163
,raspberry-pi,gpio26,0,2026-04-16T12:15:01.942Z,440
,raspberry-pi,gpio26,1,2026-04-16T12:15:02.047Z,97
,raspberry-pi,gpio26,0,2026-04-16T12:15:02.128Z,110
,raspberry-pi,gpio5,1,2026-04-16T12:15:02.140Z,391
,raspberry-pi,gpio5,0,2026-04-16T12:15:02.211Z,8
,raspberry-pi,gpio17,0,2026-04-16T12:15:07.242Z,11592
,raspberry-pi,gpio17,1,2026-04-16T12:15:14.758Z,7525
,raspberry-pi,gpio6,1,2026-04-16T12:15:19.512Z,17329
,raspberry-pi,gpio6,0,2026-04-16T12:15:19.770Z,748
,raspberry-pi,gpio6,1,2026-04-16T12:15:19.776Z,253
,raspberry-pi,gpio6,0,2026-04-16T12:15:19.975Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:15:19.996Z,214
,raspberry-pi,gpio6,0,2026-04-16T12:15:20.007Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:15:20.024Z,8
,raspberry-pi,gpio6,0,2026-04-16T12:15:20.054Z,20
,raspberry-pi,gpio26,1,2026-04-16T12:15:20.490Z,18433
,raspberry-pi,gpio6,1,2026-04-16T12:15:20.518Z,486
,raspberry-pi,gpio6,0,2026-04-16T12:15:20.677Z,9
,raspberry-pi,gpio26,0,2026-04-16T12:15:21.032Z,192
,raspberry-pi,gpio26,1,2026-04-16T12:15:21.137Z,455
,raspberry-pi,gpio26,0,2026-04-16T12:15:21.220Z,9
,raspberry-pi,gpio5,1,2026-04-16T12:15:21.228Z,19080
,raspberry-pi,gpio5,0,2026-04-16T12:15:21.298Z,8
,raspberry-pi,gpio17,0,2026-04-16T12:15:26.323Z,11550
,raspberry-pi,gpio17,1,2026-04-16T12:15:33.834Z,7526
,raspberry-pi,gpio6,1,2026-04-16T12:15:38.605Z,17330
,raspberry-pi,gpio6,0,2026-04-16T12:15:39.085Z,759
,raspberry-pi,gpio6,1,2026-04-16T12:15:39.094Z,478
,raspberry-pi,gpio6,0,2026-04-16T12:15:39.101Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:15:39.109Z,9
,raspberry-pi,gpio6,0,2026-04-16T12:15:39.153Z,5
,raspberry-pi,gpio26,1,2026-04-16T12:15:39.580Z,18434
,raspberry-pi,gpio6,1,2026-04-16T12:15:39.611Z,496
,raspberry-pi,gpio6,0,2026-04-16T12:15:39.737Z,10
,raspberry-pi,gpio5,1,2026-04-16T12:15:39.812Z,18576
,raspberry-pi,gpio5,0,2026-04-16T12:15:40.032Z,9
,raspberry-pi,gpio26,0,2026-04-16T12:15:40.119Z,457
,raspberry-pi,gpio26,1,2026-04-16T12:15:40.234Z,196
,raspberry-pi,gpio5,1,2026-04-16T12:15:40.290Z,470
,raspberry-pi,gpio26,0,2026-04-16T12:15:40.316Z,65
,raspberry-pi,gpio5,0,2026-04-16T12:15:40.400Z,31
,raspberry-pi,gpio17,0,2026-04-16T12:15:45.404Z,11550
,raspberry-pi,gpio17,1,2026-04-16T12:15:52.954Z,7571
,raspberry-pi,gpio6,1,2026-04-16T12:15:57.712Z,17348
,raspberry-pi,gpio6,0,2026-04-16T12:15:58.139Z,754
,raspberry-pi,gpio6,1,2026-04-16T12:15:58.144Z,421
,raspberry-pi,gpio6,0,2026-04-16T12:15:58.153Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:15:58.156Z,6
,raspberry-pi,gpio6,0,2026-04-16T12:15:58.243Z,5
,raspberry-pi,gpio26,1,2026-04-16T12:15:58.661Z,17950
,raspberry-pi,gpio6,1,2026-04-16T12:15:58.689Z,509
,raspberry-pi,gpio6,0,2026-04-16T12:15:58.852Z,26
,raspberry-pi,gpio26,0,2026-04-16T12:15:59.213Z,611
,raspberry-pi,gpio26,1,2026-04-16T12:15:59.319Z,358
,raspberry-pi,gpio5,1,2026-04-16T12:15:59.405Z,19006
,raspberry-pi,gpio26,0,2026-04-16T12:15:59.413Z,195
,raspberry-pi,gpio5,0,2026-04-16T12:15:59.491Z,92
,raspberry-pi,gpio17,0,2026-04-16T12:16:04.512Z,11549
,raspberry-pi,gpio17,1,2026-04-16T12:16:12.029Z,7525
,raspberry-pi,gpio6,1,2026-04-16T12:16:16.805Z,17348
,raspberry-pi,gpio6,0,2026-04-16T12:16:17.091Z,771
,raspberry-pi,gpio6,1,2026-04-16T12:16:17.104Z,281
,raspberry-pi,gpio6,0,2026-04-16T12:16:17.143Z,14
,raspberry-pi,gpio6,1,2026-04-16T12:16:17.226Z,38
,raspberry-pi,gpio6,0,2026-04-16T12:16:17.349Z,85
,raspberry-pi,gpio6,1,2026-04-16T12:16:17.364Z,121
,raspberry-pi,gpio6,0,2026-04-16T12:16:17.383Z,15
,raspberry-pi,gpio26,1,2026-04-16T12:16:17.761Z,17975
,raspberry-pi,gpio6,1,2026-04-16T12:16:17.794Z,402
,raspberry-pi,gpio10,1,2026-04-16T12:16:17.836Z,1296818
,raspberry-pi,gpio6,0,2026-04-16T12:16:17.914Z,74
,raspberry-pi,gpio26,0,2026-04-16T12:16:18.309Z,531
,raspberry-pi,gpio26,1,2026-04-16T12:16:18.423Z,396
,raspberry-pi,gpio26,0,2026-04-16T12:16:18.509Z,120
,raspberry-pi,gpio5,1,2026-04-16T12:16:18.514Z,19095
,raspberry-pi,gpio5,0,2026-04-16T12:16:18.588Z,6
,raspberry-pi,gpio17,0,2026-04-16T12:16:23.713Z,11670
,raspberry-pi,gpio17,1,2026-04-16T12:16:31.105Z,7407
,raspberry-pi,gpio6,1,2026-04-16T12:16:35.912Z,17276
,raspberry-pi,gpio6,0,2026-04-16T12:16:36.187Z,800
,raspberry-pi,gpio6,1,2026-04-16T12:16:36.192Z,271
,raspberry-pi,gpio6,0,2026-04-16T12:16:36.256Z,8
,raspberry-pi,gpio6,1,2026-04-16T12:16:36.351Z,64
,raspberry-pi,gpio6,0,2026-04-16T12:16:36.385Z,94
,raspberry-pi,gpio6,1,2026-04-16T12:16:36.390Z,31
,raspberry-pi,gpio6,0,2026-04-16T12:16:36.444Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:16:36.449Z,52
,raspberry-pi,gpio6,0,2026-04-16T12:16:36.460Z,6
,raspberry-pi,gpio26,1,2026-04-16T12:16:36.849Z,18030
,raspberry-pi,gpio6,1,2026-04-16T12:16:36.878Z,423
,raspberry-pi,gpio6,0,2026-04-16T12:16:36.995Z,7
,raspberry-pi,gpio6,1,2026-04-16T12:16:37.046Z,118
,raspberry-pi,gpio6,0,2026-04-16T12:16:37.054Z,51
,raspberry-pi,gpio26,0,2026-04-16T12:16:37.401Z,808
,raspberry-pi,gpio26,1,2026-04-16T12:16:37.511Z,239
,raspberry-pi,gpio26,0,2026-04-16T12:16:37.588Z,10
,raspberry-pi,gpio5,1,2026-04-16T12:16:37.605Z,19073
,raspberry-pi,gpio5,0,2026-04-16T12:16:37.672Z,20
,raspberry-pi,gpio17,0,2026-04-16T12:16:42.715Z,11578
,raspberry-pi,gpio22,1,2026-04-16T12:16:43.405Z,120415
,raspberry-pi,gpio10,0,2026-04-16T12:16:47.326Z,28582
,raspberry-pi,gpio17,1,2026-04-16T12:16:50.226Z,7542
,raspberry-pi,gpio6,1,2026-04-16T12:16:55.008Z,17189
,raspberry-pi,gpio6,0,2026-04-16T12:16:55.383Z,776
,raspberry-pi,gpio6,1,2026-04-16T12:16:55.412Z,370
,raspberry-pi,gpio5,1,2026-04-16T12:16:55.439Z,17826
,raspberry-pi,gpio5,0,2026-04-16T12:16:55.465Z,7
,raspberry-pi,gpio6,0,2026-04-16T12:16:55.480Z,81
,raspberry-pi,gpio6,1,2026-04-16T12:16:55.500Z,15
,raspberry-pi,gpio6,0,2026-04-16T12:16:55.535Z,23
,raspberry-pi,gpio26,1,2026-04-16T12:16:55.950Z,18429
,raspberry-pi,gpio6,1,2026-04-16T12:16:55.984Z,453
,raspberry-pi,gpio6,0,2026-04-16T12:16:56.105Z,30
,raspberry-pi,gpio5,1,2026-04-16T12:16:56.188Z,742
,raspberry-pi,gpio5,0,2026-04-16T12:16:56.392Z,8
,raspberry-pi,gpio26,0,2026-04-16T12:16:56.501Z,446
,raspberry-pi,gpio26,1,2026-04-16T12:16:56.609Z,212
,raspberry-pi,gpio5,1,2026-04-16T12:16:56.696Z,500
,raspberry-pi,gpio26,0,2026-04-16T12:16:56.701Z,92
,raspberry-pi,gpio5,0,2026-04-16T12:16:56.780Z,13
,raspberry-pi,gpio17,0,2026-04-16T12:17:01.778Z,11520
,raspberry-pi,gpio17,1,2026-04-16T12:17:09.343Z,7597
,raspberry-pi,gpio22,0,2026-04-16T12:17:11.626Z,28634
,raspberry-pi,gpio6,1,2026-04-16T12:17:14.097Z,17646
,raspberry-pi,gpio6,0,2026-04-16T12:17:14.365Z,470
,raspberry-pi,gpio6,1,2026-04-16T12:17:14.435Z,264
,raspberry-pi,gpio6,0,2026-04-16T12:17:14.489Z,72
,raspberry-pi,gpio6,1,2026-04-16T12:17:14.501Z,52
,raspberry-pi,gpio6,0,2026-04-16T12:17:14.512Z,13
,raspberry-pi,gpio6,1,2026-04-16T12:17:14.533Z,9
,raspberry-pi,gpio6,0,2026-04-16T12:17:14.625Z,23
,raspberry-pi,gpio6,1,2026-04-16T12:17:14.642Z,91
,raspberry-pi,gpio6,0,2026-04-16T12:17:14.659Z,18
,raspberry-pi,gpio26,1,2026-04-16T12:17:15.052Z,18352
,raspberry-pi,gpio6,1,2026-04-16T12:17:15.091Z,414
,raspberry-pi,gpio6,0,2026-04-16T12:17:15.238Z,35
,raspberry-pi,gpio5,1,2026-04-16T12:17:15.468Z,18759
,raspberry-pi,gpio5,0,2026-04-16T12:17:15.539Z,9
,raspberry-pi,gpio26,0,2026-04-16T12:17:15.605Z,491
,raspberry-pi,gpio26,1,2026-04-16T12:17:15.710Z,167
,raspberry-pi,gpio26,0,2026-04-16T12:17:15.793Z,10
,raspberry-pi,gpio5,1,2026-04-16T12:17:15.799Z,322
,raspberry-pi,gpio5,0,2026-04-16T12:17:15.867Z,8
,raspberry-pi,gpio17,0,2026-04-16T12:17:20.905Z,11542
,raspberry-pi,gpio17,1,2026-04-16T12:17:28.419Z,7534
,raspberry-pi,gpio6,1,2026-04-16T12:17:33.188Z,17339
,raspberry-pi,gpio6,0,2026-04-16T12:17:33.628Z,762
,raspberry-pi,gpio6,1,2026-04-16T12:17:33.644Z,438
,raspberry-pi,gpio6,0,2026-04-16T12:17:33.741Z,14
,raspberry-pi,gpio26,1,2026-04-16T12:17:34.181Z,18460
,raspberry-pi,gpio6,1,2026-04-16T12:17:34.209Z,541
,raspberry-pi,gpio6,0,2026-04-16T12:17:34.338Z,27
,raspberry-pi,gpio5,1,2026-04-16T12:17:34.421Z,18537
,raspberry-pi,gpio5,0,2026-04-16T12:17:34.622Z,86
,raspberry-pi,gpio26,0,2026-04-16T12:17:34.720Z,447
,raspberry-pi,gpio26,1,2026-04-16T12:17:34.820Z,98
,raspberry-pi,gpio26,0,2026-04-16T12:17:34.909Z,105
