test,device,signal,value,timestamp,delta
1,,,,,
,raspberry-pi,gpio26,1,2026-04-16T09:42:17.798Z,453
,raspberry-pi,gpio5,1,2026-04-16T09:42:17.891Z,18999
,raspberry-pi,gpio26,0,2026-04-16T09:42:17.898Z,100
,raspberry-pi,gpio5,0,2026-04-16T09:42:17.944Z,95
,raspberry-pi,gpio17,0,2026-04-16T09:42:23.198Z,11794
,raspberry-pi,gpio17,1,2026-04-16T09:42:30.515Z,7328
,raspberry-pi,gpio6,1,2026-04-16T09:42:35.246Z,17328
,raspberry-pi,gpio6,0,2026-04-16T09:42:35.519Z,725
,raspberry-pi,gpio6,1,2026-04-16T09:42:35.529Z,268
,raspberry-pi,gpio6,0,2026-04-16T09:42:35.536Z,11
,raspberry-pi,gpio6,1,2026-04-16T09:42:35.645Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:42:35.699Z,113
,raspberry-pi,gpio6,1,2026-04-16T09:42:35.704Z,50
,raspberry-pi,gpio6,0,2026-04-16T09:42:35.709Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:42:35.728Z,5
,raspberry-pi,gpio6,0,2026-04-16T09:42:35.761Z,22
,raspberry-pi,gpio6,1,2026-04-16T09:42:35.774Z,30
,raspberry-pi,gpio6,0,2026-04-16T09:42:35.801Z,15
,raspberry-pi,gpio26,1,2026-04-16T09:42:36.257Z,18358
,raspberry-pi,gpio6,1,2026-04-16T09:42:36.280Z,500
,raspberry-pi,gpio6,0,2026-04-16T09:42:36.445Z,8
,raspberry-pi,gpio26,0,2026-04-16T09:42:36.793Z,194
,raspberry-pi,gpio26,1,2026-04-16T09:42:36.897Z,447
,raspberry-pi,gpio5,1,2026-04-16T09:42:36.979Z,19002
,raspberry-pi,gpio26,0,2026-04-16T09:42:36.986Z,89
,raspberry-pi,gpio5,0,2026-04-16T09:42:37.039Z,88
,raspberry-pi,gpio17,0,2026-04-16T09:42:42.143Z,11534
,raspberry-pi,gpio17,1,2026-04-16T09:42:49.591Z,7541
,raspberry-pi,gpio6,1,2026-04-16T09:42:54.339Z,17318
,raspberry-pi,gpio6,0,2026-04-16T09:42:54.645Z,743
,raspberry-pi,gpio6,1,2026-04-16T09:42:54.724Z,375
,raspberry-pi,gpio6,0,2026-04-16T09:42:54.729Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:42:54.798Z,6
,raspberry-pi,gpio6,0,2026-04-16T09:42:54.903Z,71
,raspberry-pi,gpio26,1,2026-04-16T09:42:55.351Z,18364
,raspberry-pi,gpio6,1,2026-04-16T09:42:55.379Z,573
,raspberry-pi,gpio6,0,2026-04-16T09:42:55.520Z,5
,raspberry-pi,gpio26,0,2026-04-16T09:42:55.884Z,175
,raspberry-pi,gpio26,1,2026-04-16T09:42:55.989Z,464
,raspberry-pi,gpio26,0,2026-04-16T09:42:56.076Z,10
,raspberry-pi,gpio5,1,2026-04-16T09:42:56.082Z,19089
,raspberry-pi,gpio5,0,2026-04-16T09:42:56.132Z,9
,raspberry-pi,gpio17,0,2026-04-16T09:43:01.235Z,11553
,raspberry-pi,gpio17,1,2026-04-16T09:43:08.702Z,7557
,raspberry-pi,gpio6,1,2026-04-16T09:43:13.452Z,17334
,raspberry-pi,gpio6,0,2026-04-16T09:43:13.697Z,744
,raspberry-pi,gpio6,1,2026-04-16T09:43:13.840Z,241
,raspberry-pi,gpio6,0,2026-04-16T09:43:13.864Z,145
,raspberry-pi,gpio6,1,2026-04-16T09:43:13.888Z,40
,raspberry-pi,gpio6,0,2026-04-16T09:43:13.900Z,6
,raspberry-pi,gpio6,1,2026-04-16T09:43:13.926Z,32
,raspberry-pi,gpio6,0,2026-04-16T09:43:13.946Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:43:13.969Z,19
,raspberry-pi,gpio6,0,2026-04-16T09:43:13.992Z,26
,raspberry-pi,gpio26,1,2026-04-16T09:43:14.435Z,18436
,raspberry-pi,gpio6,1,2026-04-16T09:43:14.462Z,469
,raspberry-pi,gpio6,0,2026-04-16T09:43:14.617Z,25
,raspberry-pi,gpio26,0,2026-04-16T09:43:14.980Z,187
,raspberry-pi,gpio26,1,2026-04-16T09:43:15.075Z,453
,raspberry-pi,gpio5,1,2026-04-16T09:43:15.171Z,18994
,raspberry-pi,gpio26,0,2026-04-16T09:43:15.176Z,101
,raspberry-pi,gpio5,0,2026-04-16T09:43:15.228Z,99
,raspberry-pi,gpio17,0,2026-04-16T09:43:20.732Z,12004
,raspberry-pi,gpio17,1,2026-04-16T09:43:27.780Z,7074
,raspberry-pi,gpio6,1,2026-04-16T09:43:32.535Z,17325
,raspberry-pi,gpio6,0,2026-04-16T09:43:32.782Z,750
,raspberry-pi,gpio6,1,2026-04-16T09:43:32.790Z,241
,raspberry-pi,gpio6,0,2026-04-16T09:43:32.800Z,10
,raspberry-pi,gpio6,1,2026-04-16T09:43:32.981Z,185
,raspberry-pi,gpio6,0,2026-04-16T09:43:32.987Z,5
,raspberry-pi,gpio6,1,2026-04-16T09:43:33.020Z,34
,raspberry-pi,gpio6,0,2026-04-16T09:43:33.024Z,4
,raspberry-pi,gpio6,1,2026-04-16T09:43:33.055Z,7
,raspberry-pi,gpio6,0,2026-04-16T09:43:33.083Z,30
,raspberry-pi,gpio26,1,2026-04-16T09:43:33.532Z,18355
,raspberry-pi,gpio6,1,2026-04-16T09:43:33.562Z,480
,raspberry-pi,gpio6,0,2026-04-16T09:43:33.698Z,27
,raspberry-pi,gpio26,0,2026-04-16T09:43:34.067Z,172
,raspberry-pi,gpio26,1,2026-04-16T09:43:34.170Z,369
,raspberry-pi,gpio5,1,2026-04-16T09:43:34.266Z,18995
,raspberry-pi,gpio26,0,2026-04-16T09:43:34.271Z,107
,raspberry-pi,gpio5,0,2026-04-16T09:43:34.317Z,101
,raspberry-pi,gpio17,0,2026-04-16T09:43:39.308Z,11517
,raspberry-pi,gpio17,1,2026-04-16T09:43:46.861Z,7566
,raspberry-pi,gpio6,1,2026-04-16T09:43:51.644Z,17310
,raspberry-pi,gpio6,0,2026-04-16T09:43:51.875Z,776
,raspberry-pi,gpio6,1,2026-04-16T09:43:52.127Z,226
,raspberry-pi,gpio6,0,2026-04-16T09:43:52.132Z,252
,raspberry-pi,gpio6,1,2026-04-16T09:43:52.157Z,25
,raspberry-pi,gpio6,0,2026-04-16T09:43:52.175Z,5
,raspberry-pi,gpio26,1,2026-04-16T09:43:52.611Z,18432
,raspberry-pi,gpio6,1,2026-04-16T09:43:52.645Z,457
,raspberry-pi,gpio6,0,2026-04-16T09:43:52.795Z,32
,raspberry-pi,gpio5,1,2026-04-16T09:43:52.970Z,18689
,raspberry-pi,gpio5,0,2026-04-16T09:43:53.049Z,8
,raspberry-pi,gpio26,0,2026-04-16T09:43:53.159Z,443
,raspberry-pi,gpio26,1,2026-04-16T09:43:53.265Z,110
,raspberry-pi,gpio5,1,2026-04-16T09:43:53.329Z,352
,raspberry-pi,gpio26,0,2026-04-16T09:43:53.352Z,173
,raspberry-pi,gpio5,0,2026-04-16T09:43:53.413Z,27
,raspberry-pi,gpio17,0,2026-04-16T09:43:58.421Z,11551
,raspberry-pi,gpio17,1,2026-04-16T09:44:05.977Z,7563
